,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
647,180.0,2.0,30,0,155.0,2
648,600.0,0.0,23,1,412.0,1
649,180.0,0.0,31,1,133.0,2
650,30.0,0.0,31,0,30.0,3
651,1500.0,0.0,26,1,595.0,1
652,30.0,0.0,24,1,22.0,3
653,180.0,0.0,20,1,81.0,2
654,600.0,0.0,17,1,279.0,1
655,120.0,1.0,8,1,21.0,3
656,600.0,5.0,22,0,243.0,1
657,60.0,0.0,22,1,18.0,3
658,600.0,0.0,14,1,163.0,1
659,60.0,0.0,40,0,55.0,3
660,120.0,3.0,33,1,107.0,2
661,300.0,0.0,29,1,187.0,2
662,180.0,0.0,31,0,179.0,2
663,300.0,3.0,63,1,222.0,2
664,60.0,0.0,32,0,51.0,3
665,600.0,0.0,26,1,270.0,1
666,300.0,0.0,49,0,226.0,2
667,600.0,0.0,35,1,409.0,1
668,600.0,0.0,20,1,417.0,1
669,60.0,0.0,37,0,59.0,3
670,336.81176168464305,1.6013525081321691,47,1,0.0,1
671,180.0,0.0,34,1,149.0,2
672,900.0,10.0,29,1,537.0,1
673,60.0,0.0,21,0,59.0,3
674,0.0,1.0,35,1,2.0,3
